【  央视频道  】,#genre#
CCTV4K,http://116.30.249.206:8888/udp/239.77.0.194:5146
CCTV4K,http://113.74.172.130:4000/udp/239.77.0.194:5146
CCTV4K,http://113.100.72.95:8899/udp/239.77.0.194:5146
CCTV4K,http://219.128.40.214:8888/udp/239.77.0.194:5146
CCTV4K,http://218.19.111.218:9999/udp/239.77.0.194:5146
CCTV4K,http://113.71.149.149:5555/udp/239.77.0.194:5146
CCTV4K,http://218.19.110.145:9999/udp/239.77.0.194:5146
CCTV4K,http://183.4.54.164:8686/udp/239.77.0.194:5146
CCTV4K,http://218.19.111.73:9999/udp/239.77.0.194:5146
CCTV4K,http://14.121.146.49:554/udp/239.77.0.194:5146
CCTV4K,http://113.111.17.115:8888/udp/239.77.0.194:5146
CCTV4K,http://113.110.228.62:4022/udp/239.77.0.194:5146
CCTV4K50p,http://113.111.17.115:8888/udp/239.77.0.174:5146
CCTV4K50p,http://116.5.239.220:8000/udp/239.77.0.174:5146
CCTV4K50p,http://219.128.40.214:8888/udp/239.77.0.174:5146
CCTV4K50p,http://113.71.149.149:5555/udp/239.77.0.174:5146
CCTV4K50p,http://116.30.249.206:8888/udp/239.77.0.174:5146
CCTV4K50p,http://113.65.7.195:8888/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.110.145:9999/udp/239.77.0.174:5146
CCTV4K50p,http://113.110.228.62:4022/udp/239.77.0.174:5146
CCTV4K50p,http://113.65.252.5:3333/udp/239.77.0.174:5146
CCTV4K50p,http://183.4.54.164:8686/udp/239.77.0.174:5146
CCTV4K50p,http://113.74.172.130:4000/udp/239.77.0.174:5146
CCTV4K50p,http://14.216.233.242:8888/udp/239.77.0.174:5146
CCTV4K50p,http://113.100.72.95:8899/udp/239.77.0.174:5146
CCTV4K50p,http://14.121.146.49:554/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.110.73:9999/udp/239.77.0.174:5146
CCTV4亚洲,http://120.6.187.182:4022/rtp/239.253.92.251:6141
CCTV4北美,http://182.32.160.10:9997/udp/239.21.2.29:5002
CCTV4美洲,http://124.65.3.44:20000/rtp/239.3.1.214:4220
CCTV4美洲,http://221.15.4.129:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://27.184.21.145:4022/rtp/239.254.201.206:4220
CCTV4美洲,http://124.230.56.5:55555/udp/239.76.253.96:9000
CCTV4美洲,http://42.5.178.126:8888/rtp/232.0.0.59:1234
CCTV4美洲,http://222.141.135.182:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://123.182.42.136:4321/rtp/239.254.201.206:4220
CCTV4美洲,http://114.250.19.220:33333/rtp/239.3.1.214:4220
CCTV4美洲,http://111.224.94.34:1024/rtp/239.254.201.206:4220
CCTV4美洲,http://219.156.50.70:9999/rtp/225.1.5.32:1343
CCTV4美洲,http://221.15.5.143:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://124.230.56.5:55555/udp/239.76.246.96:1234
CCTV4美洲,http://125.40.24.6:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://123.179.46.72:8888/udp/239.29.1.142:5000
CCTV4美洲,http://219.155.210.40:8888/rtp/225.1.5.32:1343
CCTV5,http://121.24.99.131:8090/hls/13/index.m3u8
CCTV5,http://125.88.8.114:9901/tsfile/live/0005_1.m3u8
CCTV5,http://110.72.60.81:808/hls/67/index.m3u8
CCTV5,http://110.72.85.122:808/hls/38/index.m3u8
CCTV5,http://182.126.117.20:808/hls/5/index.m3u8
CCTV5,http://123.101.98.20:9898/tsfile/live/0005_1.m3u8
CCTV5,http://113.111.17.115:8888/udp/239.77.0.177:5146
CCTV5,http://110.72.60.81:808/hls/5/index.m3u8
CCTV5,http://220.173.26.219:5678/udp/239.81.0.232:4056
CCTV5,http://183.128.183.36:4022/rtp/233.50.201.197:5140
CCTV5,http://171.15.152.105:9000/rtp/239.16.20.53:10530
CCTV5,http://61.150.11.116:4444/rtp/239.112.205.222:5140
CCTV5,http://220.187.80.239:8888/rtp/233.50.201.197:5140
CCTV5,http://119.165.164.253:1029/udp/239.253.254.192:8000
CCTV5,http://36.27.93.103:4022/rtp/233.50.201.197:5140
CCTV5+,http://111.225.92.33:8800/hls/101/index.m3u8
CCTV5+,http://110.72.60.81:808/hls/6/index.m3u8
CCTV5+,http://171.104.193.220:8181/tsfile/live/0016_1.m3u8
CCTV5+,http://123.54.170.154:808/hls/18/index.m3u8
CCTV5+,http://113.111.17.115:8888/udp/239.77.1.31:5146
CCTV5+,http://171.8.170.56:8800/rtp/239.16.10.3:2000
CCTV5+,http://171.15.152.105:9000/rtp/239.16.10.3:2000
CCTV5+,http://171.8.170.56:8800/rtp/239.16.20.5:10050
CCTV5+,http://125.120.147.105:8888/rtp/233.50.201.220:5140
CCTV5+,http://171.15.152.105:9000/rtp/239.16.20.5:10050
CCTV5+,http://115.204.73.138:8888/rtp/233.50.201.220:5140
CCTV5+,http://221.198.185.218:8888/udp/225.1.1.121:5002
CCTV5+,http://123.145.57.225:8002/udp/225.0.4.73:7980
CCTV5+,http://171.109.211.103:8888/udp/239.81.0.101:4056
CCTV5+,http://219.145.19.145:4000/rtp/239.111.205.13:5140
CCTV5+hd,http://175.15.134.49:8888/udp/239.76.246.168:1234
CCTV5+hd,http://175.15.134.49:8888/udp/239.76.253.168:9000
