2024-05-08更新,#genre#
HZTV1_电信,http://113.71.148.79:5555/udp/239.77.1.232:5146
HZTV1_电信,http://113.74.172.129:4000/udp/239.77.0.247:5146
HZTV1_电信,http://113.74.172.129:4000/udp/239.77.1.154:5146
HZTV1_电信,http://113.74.172.129:4000/udp/239.77.1.232:5146
HZTV1_电信,http://113.86.204.95:9999/udp/239.77.0.247:5146
HZTV1_电信,http://113.86.204.95:9999/udp/239.77.1.154:5146
HZTV1_电信,http://113.86.204.95:9999/udp/239.77.1.232:5146
HZTV1_电信,http://125.89.163.44:8888/udp/239.77.0.247:5146
HZTV1_电信,http://125.89.163.44:8888/udp/239.77.1.154:5146
HZTV1_电信,http://125.89.163.44:8888/udp/239.77.1.232:5146
HZTV1_电信,http://125.90.252.178:4060/udp/239.77.0.247:5146
HZTV1_电信,http://125.90.252.178:4060/udp/239.77.1.154:5146
HZTV1_电信,http://125.90.252.178:4060/udp/239.77.1.232:5146
HZTV1_电信,http://14.117.236.166:9000/udp/239.77.0.247:5146
HZTV1_电信,http://14.117.236.166:9000/udp/239.77.1.154:5146
HZTV1_电信,http://14.117.236.166:9000/udp/239.77.1.232:5146
HZTV1_电信,http://14.121.146.163:554/udp/239.77.0.247:5146
HZTV1_电信,http://14.121.146.163:554/udp/239.77.1.154:5146
HZTV1_电信,http://14.121.146.163:554/udp/239.77.1.232:5146
HZTV1_电信,http://219.137.113.222:4022/udp/239.77.0.247:5146
HZTV1_电信,http://219.137.113.222:4022/udp/239.77.1.154:5146
HZTV1_电信,http://219.137.113.222:4022/udp/239.77.1.232:5146
HZTV1_电信,http://61.141.138.94:8888/udp/239.77.0.247:5146
HZTV1_电信,http://61.141.138.94:8888/udp/239.77.1.154:5146
HZTV1_电信,http://61.141.138.94:8888/udp/239.77.1.232:5146
HZTV2_电信,http://113.103.253.41:10000/udp/239.77.0.248:5146
HZTV2_电信,http://113.103.253.41:10000/udp/239.77.1.173:5146
HZTV2_电信,http://113.103.253.41:10000/udp/239.77.1.233:5146
HZTV2_电信,http://113.103.253.41:9999/udp/239.77.0.248:5146
HZTV2_电信,http://113.103.253.41:9999/udp/239.77.1.173:5146
HZTV2_电信,http://113.103.253.41:9999/udp/239.77.1.233:5146
HZTV2_电信,http://113.71.148.79:5555/udp/239.77.0.248:5146
HZTV2_电信,http://113.71.148.79:5555/udp/239.77.1.173:5146
HZTV2_电信,http://113.71.148.79:5555/udp/239.77.1.233:5146
HZTV2_电信,http://113.74.172.129:4000/udp/239.77.0.248:5146
HZTV2_电信,http://113.74.172.129:4000/udp/239.77.1.173:5146
HZTV2_电信,http://113.74.172.129:4000/udp/239.77.1.233:5146
HZTV2_电信,http://113.86.204.95:9999/udp/239.77.0.248:5146
HZTV2_电信,http://113.86.204.95:9999/udp/239.77.1.173:5146
HZTV2_电信,http://113.86.204.95:9999/udp/239.77.1.233:5146
HZTV2_电信,http://125.89.163.44:8888/udp/239.77.0.248:5146
HZTV2_电信,http://125.89.163.44:8888/udp/239.77.1.173:5146
HZTV2_电信,http://125.89.163.44:8888/udp/239.77.1.233:5146
HZTV2_电信,http://125.90.252.178:4060/udp/239.77.0.248:5146
HZTV2_电信,http://125.90.252.178:4060/udp/239.77.1.173:5146
HZTV2_电信,http://125.90.252.178:4060/udp/239.77.1.233:5146
HZTV2_电信,http://14.117.236.166:9000/udp/239.77.0.248:5146
HZTV2_电信,http://14.117.236.166:9000/udp/239.77.1.173:5146
HZTV2_电信,http://14.117.236.166:9000/udp/239.77.1.233:5146
HZTV2_电信,http://14.121.146.163:554/udp/239.77.0.248:5146
HZTV2_电信,http://14.121.146.163:554/udp/239.77.1.173:5146
HZTV2_电信,http://14.121.146.163:554/udp/239.77.1.233:5146
HZTV2_电信,http://219.137.113.222:4022/udp/239.77.0.248:5146
HZTV2_电信,http://219.137.113.222:4022/udp/239.77.1.173:5146
HZTV2_电信,http://219.137.113.222:4022/udp/239.77.1.233:5146
HZTV2_电信,http://61.141.138.94:8888/udp/239.77.0.248:5146
HZTV2_电信,http://61.141.138.94:8888/udp/239.77.1.173:5146
HZTV2_电信,http://61.141.138.94:8888/udp/239.77.1.233:5146
【  体育频道  】,#genre#
【  央视频道  】,#genre#
【  广东频道  】,#genre#
【  江苏频道  】,#genre#
【 港澳台频道 】,#genre#
其他频道,#genre#
南国都市 4K_电信,http://113.103.253.41:10000/udp/239.253.43.99:5146
南国都市 4K_电信,http://113.103.253.41:9999/udp/239.253.43.99:5146
南国都市 4K_电信,http://113.71.148.79:5555/udp/239.253.43.99:5146
南国都市 4K_电信,http://113.74.172.129:4000/udp/239.253.43.99:5146
南国都市 4K_电信,http://113.86.204.95:9999/udp/239.253.43.99:5146
南国都市 4K_电信,http://125.89.163.44:8888/udp/239.253.43.99:5146
南国都市 4K_电信,http://125.90.252.178:4060/udp/239.253.43.99:5146
南国都市 4K_电信,http://14.117.236.166:9000/udp/239.253.43.99:5146
南国都市 4K_电信,http://14.121.146.163:554/udp/239.253.43.99:5146
南国都市 4K_电信,http://219.137.113.222:4022/udp/239.253.43.99:5146
南国都市 4K_电信,http://61.141.138.94:8888/udp/239.253.43.99:5146
央视频道,#genre#
徐闻综合_电信,http://113.103.253.41:10000/udp/239.253.43.112:5146
徐闻综合_电信,http://113.103.253.41:9999/udp/239.253.43.112:5146
徐闻综合_电信,http://113.71.148.79:5555/udp/239.253.43.112:5146
徐闻综合_电信,http://113.74.172.129:4000/udp/239.253.43.112:5146
徐闻综合_电信,http://113.86.204.95:9999/udp/239.253.43.112:5146
徐闻综合_电信,http://125.89.163.44:8888/udp/239.253.43.112:5146
徐闻综合_电信,http://125.90.252.178:4060/udp/239.253.43.112:5146
徐闻综合_电信,http://14.117.236.166:9000/udp/239.253.43.112:5146
徐闻综合_电信,http://14.121.146.163:554/udp/239.253.43.112:5146
徐闻综合_电信,http://219.137.113.222:4022/udp/239.253.43.112:5146
徐闻综合_电信,http://61.141.138.94:8888/udp/239.253.43.112:5146
现代教育_电信,http://113.103.253.41:10000/udp/239.77.0.18:5146
现代教育_电信,http://113.103.253.41:9999/udp/239.77.0.18:5146
现代教育_电信,http://113.71.148.79:5555/udp/239.77.0.18:5146
现代教育_电信,http://113.74.172.129:4000/udp/239.77.0.18:5146
现代教育_电信,http://113.86.204.95:9999/udp/239.77.0.18:5146
现代教育_电信,http://125.89.163.44:8888/udp/239.77.0.18:5146
现代教育_电信,http://125.90.252.178:4060/udp/239.77.0.18:5146
现代教育_电信,http://14.117.236.166:9000/udp/239.77.0.18:5146
现代教育_电信,http://14.121.146.163:554/udp/239.77.0.18:5146
现代教育_电信,http://219.137.113.222:4022/udp/239.77.0.18:5146
现代教育_电信,http://61.141.138.94:8888/udp/239.77.0.18:5146
经济科教_电信,http://113.103.253.41:10000/udp/239.77.0.167:5146
经济科教_电信,http://113.103.253.41:10000/udp/239.77.0.85:5146
经济科教_电信,http://113.103.253.41:10000/udp/239.77.0.8:5146
经济科教_电信,http://113.103.253.41:9999/udp/239.77.0.167:5146
经济科教_电信,http://113.103.253.41:9999/udp/239.77.0.85:5146
经济科教_电信,http://113.103.253.41:9999/udp/239.77.0.8:5146
经济科教_电信,http://113.71.148.79:5555/udp/239.77.0.167:5146
经济科教_电信,http://113.71.148.79:5555/udp/239.77.0.85:5146
经济科教_电信,http://113.71.148.79:5555/udp/239.77.0.8:5146
经济科教_电信,http://113.74.172.129:4000/udp/239.77.0.167:5146
经济科教_电信,http://113.74.172.129:4000/udp/239.77.0.85:5146
经济科教_电信,http://113.74.172.129:4000/udp/239.77.0.8:5146
经济科教_电信,http://113.86.204.95:9999/udp/239.77.0.167:5146
经济科教_电信,http://113.86.204.95:9999/udp/239.77.0.85:5146
经济科教_电信,http://113.86.204.95:9999/udp/239.77.0.8:5146
经济科教_电信,http://125.89.163.44:8888/udp/239.77.0.167:5146
经济科教_电信,http://125.89.163.44:8888/udp/239.77.0.85:5146
经济科教_电信,http://125.89.163.44:8888/udp/239.77.0.8:5146
经济科教_电信,http://125.90.252.178:4060/udp/239.77.0.167:5146
经济科教_电信,http://125.90.252.178:4060/udp/239.77.0.85:5146
经济科教_电信,http://125.90.252.178:4060/udp/239.77.0.8:5146
经济科教_电信,http://14.117.236.166:9000/udp/239.77.0.167:5146
经济科教_电信,http://14.117.236.166:9000/udp/239.77.0.85:5146
经济科教_电信,http://14.117.236.166:9000/udp/239.77.0.8:5146
经济科教_电信,http://14.121.146.163:554/udp/239.77.0.167:5146
经济科教_电信,http://14.121.146.163:554/udp/239.77.0.85:5146
经济科教_电信,http://14.121.146.163:554/udp/239.77.0.8:5146
经济科教_电信,http://219.137.113.222:4022/udp/239.77.0.167:5146
经济科教_电信,http://219.137.113.222:4022/udp/239.77.0.85:5146
经济科教_电信,http://219.137.113.222:4022/udp/239.77.0.8:5146
经济科教_电信,http://61.141.138.94:8888/udp/239.77.0.167:5146
经济科教_电信,http://61.141.138.94:8888/udp/239.77.0.85:5146
经济科教_电信,http://61.141.138.94:8888/udp/239.77.0.8:5146
香山文化_电信,http://113.103.253.41:10000/udp/239.253.43.60:5146
香山文化_电信,http://113.103.253.41:10000/udp/239.253.43.63:5146
香山文化_电信,http://113.103.253.41:9999/udp/239.253.43.60:5146
香山文化_电信,http://113.103.253.41:9999/udp/239.253.43.63:5146
香山文化_电信,http://113.71.148.79:5555/udp/239.253.43.60:5146
香山文化_电信,http://113.71.148.79:5555/udp/239.253.43.63:5146
香山文化_电信,http://113.74.172.129:4000/udp/239.253.43.60:5146
香山文化_电信,http://113.74.172.129:4000/udp/239.253.43.63:5146
香山文化_电信,http://113.86.204.95:9999/udp/239.253.43.60:5146
香山文化_电信,http://113.86.204.95:9999/udp/239.253.43.63:5146
香山文化_电信,http://125.89.163.44:8888/udp/239.253.43.60:5146
香山文化_电信,http://125.89.163.44:8888/udp/239.253.43.63:5146
香山文化_电信,http://125.90.252.178:4060/udp/239.253.43.60:5146
香山文化_电信,http://125.90.252.178:4060/udp/239.253.43.63:5146
香山文化_电信,http://14.117.236.166:9000/udp/239.253.43.60:5146
香山文化_电信,http://14.117.236.166:9000/udp/239.253.43.63:5146
香山文化_电信,http://14.121.146.163:554/udp/239.253.43.60:5146
香山文化_电信,http://14.121.146.163:554/udp/239.253.43.63:5146
香山文化_电信,http://219.137.113.222:4022/udp/239.253.43.60:5146
香山文化_电信,http://219.137.113.222:4022/udp/239.253.43.63:5146
香山文化_电信,http://61.141.138.94:8888/udp/239.253.43.60:5146
香山文化_电信,http://61.141.138.94:8888/udp/239.253.43.63:5146
