【  央视频道  】,#genre#
CETV1_联通,http://114.245.179.5:10000/rtp/239.3.1.57:8152
CETV1_联通,http://114.249.19.38:4022/rtp/239.3.1.57:8152
CETV1_联通,http://60.220.167.76:8085/rtp/226.0.2.181:9360
CETV1_联通,http://114.250.19.220:33333/rtp/239.3.1.57:8152
CETV1_联通,http://211.90.88.50:8084/rtp/226.0.2.181:9360
CETV1_联通,http://222.129.37.111:9001/rtp/239.3.1.57:8152
CETV1_联通,http://183.185.132.195:8001/rtp/226.0.2.181:9360
中国教育CETV1_电信,http://36.56.202.165:4022/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://202.102.201.244:40022/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://220.178.185.92:4022/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://183.166.118.39:8888/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://117.69.50.154:8888/rtp/238.1.78.158:7136
CCTV2_其他,http://1.193.57.68:8800/rtp/239.16.20.2:10020
CCTV2_其他,http://1.70.32.95:8084/udp/239.1.1.8:8008
CCTV2_其他,http://1.70.32.95:8083/udp/239.1.1.8:8008
CCTV2_其他,http://1.193.57.68:8800/rtp/239.16.10.127:2000
CCTV2_其他,http://1.70.32.95:8085/udp/239.1.1.8:8008
CCTV2_广电,http://1.70.33.100:8082/udp/239.1.1.8:8008
CCTV2_电信,http://121.235.191.182:12999/hls/2/index.m3u8
CCTV2_电信,http://222.89.29.199:808/hls/2/index.m3u8
CCTV2_电信,http://222.211.198.121:808/hls/2/index.m3u8
CCTV2_电信,http://121.63.199.107:88/hls/2/index.m3u8
CCTV2_电信,http://113.15.187.233:8181/tsfile/live/0002_1.m3u8
CCTV2_电信,http://123.101.98.20:9898/tsfile/live/0002_1.m3u8
CCTV2_电信,http://113.110.72.109:8090/hls/114/index.m3u8
CCTV2_电信,http://61.140.233.25:4000/udp/239.77.1.158:5146
CCTV2_电信,http://113.67.166.23:8889/udp/239.253.43.17:5146
CCTV2_电信,http://183.30.202.148:8000/udp/239.77.1.158:5146
CCTV2_电信,http://113.67.166.23:8889/udp/239.77.1.158:5146
CCTV2_电信,http://116.20.67.9:4000/udp/239.253.43.17:5146
CCTV2_电信,http://125.92.140.53:8888/udp/239.77.1.158:5146
CCTV2_电信,http://116.20.67.9:4000/udp/239.77.1.158:5146
CCTV2_电信,http://125.94.166.95:8686/udp/239.253.43.17:5146
CCTV2_电信,http://183.54.208.197:9999/udp/239.253.43.17:5146
CCTV2_移动,http://120.224.7.90:809/hls/217/index.m3u8
CCTV2_移动,http://112.46.85.60:8002/hls/502/index.m3u8
CCTV2_移动,http://183.196.25.171:808/hls/2/index.m3u8
CCTV2_移动,http://117.141.149.101:4431/tsfile/live/faacts/1011_1.m3u8
CCTV2_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2_联通,http://119.54.12.35:9999/hls/2/index.m3u8
CCTV2_联通,http://182.122.73.120:8089/hls/2/index.m3u8
CCTV2_联通,http://119.54.12.141:9999/hls/2/index.m3u8
CCTV2_联通,http://1.24.190.98:10080/hls/2/index.m3u8
CCTV2_联通,http://123.112.50.33:8888/rtp/239.3.1.60:8084
CCTV2_联通,http://124.64.236.210:8012/rtp/239.3.1.60:8084
CCTV2_联通,http://221.198.174.113:8888/udp/225.1.1.133:5002
CCTV2_联通,http://114.243.104.69:8821/rtp/239.3.1.60:8084
CCTV2_联通,http://27.11.62.175:8009/udp/225.0.4.132:7980
CCTV2_联通,http://114.245.179.5:10000/rtp/239.3.1.60:8084
CCTV2_联通,http://221.15.224.151:8181/rtp/225.1.4.74:1103
CCTV2_联通,http://123.145.12.76:8004/udp/225.0.4.132:7980
CCTV2_联通,http://117.9.130.7:50000/udp/225.1.1.133:5002
CCTV2_联通,http://120.0.52.32:4022/rtp/239.253.92.190:6065
CCTV2_联通,http://211.158.155.48:8001/udp/225.0.4.132:7980
CCTV2_联通,http://211.90.88.50:8084/rtp/226.0.2.154:9144
CCTV2经济_联通,http://182.123.72.250:8090/hls/2/index.m3u8
CCTV2高清_电信,http://175.10.56.41:4022/udp/239.76.253.152:9000
CCTV2高清_联通,http://221.218.212.142:8012/rtp/239.3.1.60:8084
CETV2_电信,http://113.116.4.70:808/hls/78/index.m3u8
CETV2_联通,http://119.118.170.190:8888/rtp/232.0.0.238:1234
CETV2_联通,http://175.147.76.205:8888/rtp/232.0.0.238:1234
CETV2_联通,http://119.54.12.35:9999/hls/71/index.m3u8
CETV2_联通,http://221.205.200.8:8083/rtp/226.0.2.69:8464
CETV2_联通,http://119.54.9.159:9999/hls/71/index.m3u8
CETV2_联通,http://119.54.12.141:9999/hls/71/index.m3u8
CETV2_联通,http://1.24.190.98:10080/hls/18/index.m3u8
CETV2_联通,http://116.179.149.69:7000/rtp/226.0.2.69:8464
CETV2_联通,http://118.79.7.53:8000/rtp/226.0.2.69:8464
CETV2_联通,http://121.19.134.48:808/tsfile/live/1029_1.m3u8
CETV2_联通,http://121.19.134.190:808/tsfile/live/1038_1.m3u8
CCTV3_其他,http://1.193.57.68:8800/rtp/239.16.10.2:2000
CCTV3_其他,http://1.70.32.95:8085/udp/239.1.1.9:8009
CCTV3_其他,http://1.193.57.68:8800/rtp/239.16.20.253:12530
CCTV3_其他,http://1.193.57.68:8800/rtp/239.16.20.3:10030
CCTV3_其他,http://1.70.32.95:8083/udp/239.1.1.9:8009
CCTV3_其他,http://1.70.32.95:8084/udp/239.1.1.9:8009
CCTV3_广电,http://1.70.33.100:8082/udp/239.1.1.9:8009
CCTV3_电信,http://219.159.194.195:8181/tsfile/live/0003_1.m3u8
CCTV3_电信,http://121.63.199.107:88/hls/3/index.m3u8
CCTV3_电信,http://113.110.72.109:8090/hls/115/index.m3u8
CCTV3_电信,http://113.15.187.104:8181/tsfile/live/0003_1.m3u8
CCTV3_电信,http://113.24.136.55:8083/udp/239.1.1.9:8009
CCTV3_电信,http://123.170.144.250:5000/udp/239.21.2.45:5002
CCTV3_电信,http://113.24.136.66:8084/udp/239.1.1.9:8009
CCTV3_电信,http://110.179.81.53:8084/udp/239.1.1.9:8009
CCTV3_电信,http://113.24.136.66:8086/udp/239.1.1.9:8009
CCTV3_电信,http://1.193.57.68:8800/rtp/239.16.20.3:10030
CCTV3_电信,http://219.145.19.145:4000/rtp/239.112.205.221:5140
CCTV3_电信,http://110.179.81.53:8083/udp/239.1.1.9:8009
CCTV3_电信,http://1.70.34.52:8085/udp/239.1.1.9:8009
CCTV3_电信,http://1.70.33.100:8082/udp/239.1.1.9:8009
CCTV3_电信,http://115.195.85.216:8888/rtp/233.50.201.196:5140
CCTV3_电信,http://183.30.202.148:8000/udp/239.77.0.169:5146
CCTV3_移动,http://112.46.85.60:8002/hls/3/index.m3u8
CCTV3_移动,http://117.141.149.101:4431/tsfile/live/faacts/1012_1.m3u8
CCTV3_移动,http://183.196.25.171:808/hls/75/index.m3u8
CCTV3_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV3_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV3_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3_联通,http://182.123.72.250:8090/hls/3/index.m3u8
CCTV3_联通,http://61.52.158.49:808/hls/3/index.m3u8
CCTV3_联通,http://119.54.12.141:9999/hls/3/index.m3u8
CCTV3_联通,http://120.7.86.85:808/hls/3/index.m3u8
CCTV3_联通,http://119.54.9.159:9999/hls/3/index.m3u8
CCTV3_联通,http://1.24.190.98:10080/hls/3/index.m3u8
CCTV3_联通,http://111.196.150.10:20002/rtp/239.3.1.172:8001
CCTV3_联通,http://27.11.62.175:8009/udp/225.0.4.142:7980
CCTV3_联通,http://221.15.224.151:8181/rtp/225.1.4.158:1194
CCTV3_联通,http://117.9.130.7:50000/udp/225.1.1.158:5002
CCTV3_联通,http://221.198.174.113:8888/udp/225.1.1.158:5002
CCTV3_联通,http://123.112.50.33:8888/rtp/239.3.1.172:8001
CCTV3_联通,http://124.64.236.210:8012/rtp/239.3.1.172:8001
CCTV3_联通,http://119.54.8.235:9999/hls/3/index.m3u8
CCTV3_联通,http://120.0.52.32:4022/rtp/239.253.92.191:6057
CCTV3_联通,http://114.243.104.69:8821/rtp/239.3.1.172:8001
CCTV3超清_电信,http://125.92.140.53:8888/udp/239.77.0.175:5146
CCTV3超清_电信,http://61.140.233.25:4000/udp/239.77.0.175:5146
CCTV3超清_电信,http://183.30.202.148:8000/udp/239.77.0.175:5146
CCTV3超清_电信,http://113.67.166.23:8889/udp/239.77.0.175:5146
CCTV3超清_电信,http://116.21.123.201:8000/udp/239.77.0.175:5146
CCTV3超清_电信,http://183.54.208.197:9999/udp/239.77.0.175:5146
CCTV3超清_电信,http://183.54.209.177:9999/udp/239.77.0.175:5146
CCTV3超清_电信,http://125.94.166.95:8686/udp/239.77.0.175:5146
CCTV3超清_电信,http://183.54.211.105:9999/udp/239.77.0.175:5146
CCTV3超清_电信,http://113.100.72.95:8899/udp/239.77.0.175:5146
CCTV3超清_电信,http://113.83.248.211:4200/udp/239.77.0.175:5146
CCTV3高清_联通,http://221.218.211.229:58888/rtp/239.3.1.172:8001
CCTV3高清_联通,http://221.218.212.142:8012/rtp/239.3.1.172:8001
CCTV4K50p_电信,http://183.30.202.148:8000/udp/239.77.0.174:5146
CCTV4K50p_电信,http://61.140.233.25:4000/udp/239.77.0.174:5146
CCTV4K50p_电信,http://113.67.166.23:8889/udp/239.77.0.174:5146
CCTV4K50p_电信,http://125.92.140.53:8888/udp/239.77.0.174:5146
CCTV4K50p_电信,http://183.54.211.105:9999/udp/239.77.0.174:5146
CCTV4K50p_电信,http://116.21.123.201:8000/udp/239.77.0.174:5146
CCTV4K50p_电信,http://125.94.166.95:8686/udp/239.77.0.174:5146
CCTV4K50p_电信,http://183.54.208.197:9999/udp/239.77.0.174:5146
CCTV4K50p_电信,http://183.54.209.177:9999/udp/239.77.0.174:5146
CCTV4K50p_电信,http://113.83.248.211:4200/udp/239.77.0.174:5146
CCTV4K_电信,http://183.30.202.148:8000/udp/239.77.0.194:5146
CCTV4K_电信,http://113.67.166.23:8889/udp/239.77.0.194:5146
CCTV4K_电信,http://61.140.233.25:4000/udp/239.77.0.194:5146
CCTV4K_电信,http://125.92.140.53:8888/udp/239.77.0.194:5146
CCTV4K_电信,http://183.54.208.197:9999/udp/239.77.0.194:5146
CCTV4K_电信,http://116.21.123.201:8000/udp/239.77.0.194:5146
CCTV4K_电信,http://183.54.210.111:9999/udp/239.77.0.194:5146
CCTV4K_电信,http://125.94.166.95:8686/udp/239.77.0.194:5146
CCTV4K_电信,http://113.100.72.95:8899/udp/239.77.0.194:5146
